"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_329","DESVIOS_PIOR_INDICADOR_329","INDICADOR_62","DESVIOS_MELHOR_INDICADOR_62","INDICADOR_199","DESVIOS_MELHOR_INDICADOR_199","INDICADOR_200","DESVIOS_MELHOR_INDICADOR_200","INDICADOR_333","DESVIOS_MELHOR_INDICADOR_333","INDICADOR_181","DESVIOS_PIOR_INDICADOR_181","INDICADOR_182","DESVIOS_PIOR_INDICADOR_182","INDICADOR_188","DESVIOS_MELHOR_INDICADOR_188","INDICADOR_189","DESVIOS_MELHOR_INDICADOR_189","INDICADOR_289","DESVIOS_MELHOR_INDICADOR_289","INDICADOR_290","DESVIOS_PIOR_INDICADOR_290","INDICADOR_202","DESVIOS_PIOR_INDICADOR_202","INDICADOR_184","DESVIOS_PIOR_INDICADOR_184","INDICADOR_7","DESVIOS_NEUTRO_INDICADOR_7","INDICADOR_201","DESVIOS_MELHOR_INDICADOR_201"
25,"Paraíba",2500734,"2010",2502,"Borborema",250210,"Cariri Ocidental","Amparo",23.4565402833784,2,70.0376451376,1,NA,NA,NA,NA,93.6052756987011,1,2.2,2,NA,NA,78.1,-1,NA,NA,13.9534883721,-3,NA,NA,32.2222222222,2,11.6744186047,2,3223.3371198822,2,NA,NA
25,"Paraíba",2500734,"2011",2502,"Borborema",250210,"Cariri Ocidental","Amparo",NA,NA,59.877071383,-2,4.1,1,3.6,1,NA,NA,4.9,1,NA,NA,86.6,1,NA,NA,17.0731707317,-3,4.8780487805,1,22.2222222222,3,12.1951219512,2,3353.28484,1,0.668938,1
25,"Paraíba",2500734,"2012",2502,"Borborema",250210,"Cariri Ocidental","Amparo",NA,NA,60.08,-1,NA,NA,NA,NA,NA,NA,6,-1,NA,NA,83.9,1,NA,NA,80.701754386,1,8.7719298246,1,43.75,-1,8.649122807,2,4212.53,2,NA,NA
25,"Paraíba",2500775,"2000",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",36.4043818475105,1,NA,NA,NA,NA,NA,NA,76.4199807324916,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",2500775,"2007",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",NA,NA,65.0237594096,-1,3.9,2,3,1,NA,NA,4.7,1,NA,NA,80.1,1,NA,NA,32.2580645161,-1,NA,NA,35.9477124183,1,18.1129032258,1,2108.4945111088,1,NA,NA
25,"Paraíba",2500775,"2008",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",NA,NA,57.7533530816,-1,NA,NA,NA,NA,NA,NA,6.1,1,NA,NA,83,2,NA,NA,24.2424242424,-2,NA,NA,40.522875817,-1,16.4545454545,1,2237.4727468321,1,NA,NA
25,"Paraíba",2500775,"2009",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",NA,NA,69.1267873866,-1,3.3,-1,3.9,2,NA,NA,4.6,1,NA,NA,85.9,2,NA,NA,28.2608695652,-2,NA,NA,40.7407407407,-1,15.3804347826,1,2084.6572998841,-1,0.721824,-1
25,"Paraíba",2500775,"2010",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",30.176223296807,1,65.7411180616,-1,NA,NA,NA,NA,87.5441639222904,-2,3.8,1,NA,NA,83.4,1,NA,NA,55.6962025316,1,NA,NA,34.9673202614,1,15.3670886076,1,2710.6359899849,1,NA,NA
25,"Paraíba",2500775,"2011",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",NA,NA,70.550221663,1,3.9,1,4.1,2,NA,NA,2.4,2,NA,NA,86.3,1,NA,NA,74.4680851064,1,36.170212766,-1,38.5620915033,-1,13.6595744681,1,2789.225540856,1,0.575937,-1
25,"Paraíba",2500775,"2012",2501,"Sertão Paraibano",250103,"Sousa","Aparecida",NA,NA,59.52,-1,NA,NA,NA,NA,NA,NA,3.2,1,NA,NA,84.7,1,NA,NA,92.3913043478,2,31.5217391304,-1,38.92045455,-1,13.8260869565,1,3217.34,-1,NA,NA
25,"Paraíba",2500908,"2000",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",51.7980093626874,-2,NA,NA,NA,NA,NA,NA,84.9589678896665,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Paraíba",2500908,"2007",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",NA,NA,72.5189150628,1,3.1,-1,2.3,-1,NA,NA,17.8,-2,16.1,1,66.1,-1,78.8,1,58.7719298246,-1,NA,NA,37.5661375661,-1,21.4473684211,-1,1546.3969903854,-1,NA,NA
25,"Paraíba",2500908,"2008",2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",NA,NA,71.1996607946,1,NA,NA,NA,NA,NA,NA,18.6,-3,15.7,-1,66.3,-2,80,-1,57.0093457944,1,NA,NA,41.2698412698,-1,20.9813084112,-1,1721.0866103693,-1,NA,NA
