"REGIAO","ANO","INDICADOR_329","INDICADOR_62","INDICADOR_199","INDICADOR_200","INDICADOR_333","INDICADOR_181","INDICADOR_182","INDICADOR_188","INDICADOR_189","INDICADOR_289","INDICADOR_290","INDICADOR_202","INDICADOR_184","INDICADOR_7","INDICADOR_201"
"Seridó Oriental Paraibano",2008,NA,66.1085185743,NA,NA,NA,7.4,20,70.8,72.5,63.4146341463,NA,39.4444444444,19.6296296296,1995.785645552,NA
"Seridó Oriental Paraibano",2009,NA,69.2661820254,3.6,3.2,NA,5.4,16.4,77,73.05,62.962962963,NA,38.2716049383,18.7037037037,1972.3763544279,0.77461
"Seridó Oriental Paraibano",2010,28.5351774650042,69.6258733705,NA,NA,93.0892603908739,6.5,2.55,76,81.45,66.6666666667,NA,38.8888888889,18.3370786517,2034.9751968001,NA
"Seridó Oriental Paraibano",2011,NA,64.9522639233,4.1,3.2,NA,6.3,16.4,76.9,71.35,72,9.5238095238,37.7777777778,18.7485380117,2622.0455800575,0.640577
"Serra do Teixeira",2000,41.3736713065393,NA,NA,NA,83.3716506458622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serra do Teixeira",2007,NA,68.3962217324,3,2.8,NA,7.7,6.6,71.1,91.05,58.1632653061,NA,37.8968253968,19.8235294118,1630.7002390252,NA
"Serra do Teixeira",2008,NA,64.2060567768,NA,NA,NA,7,13.1,74.7,85.8,62.7450980392,NA,41.7562724014,19.4509803922,1827.2802473176,NA
"Serra do Teixeira",2009,NA,70.5958212695,3.45,3.1,NA,5.1,13.9,77.7,82.6,57.2413793103,NA,41.4141414141,20.0354609929,1957.0863416623,0.7559785
"Serra do Teixeira",2010,31.1234521967881,67.7549213606,NA,NA,90.4967165559051,5.4,18.8,78.3,70.8,62.7450980392,NA,41.452991453,19.7251908397,2272.3050243414,NA
"Serra do Teixeira",2011,NA,68.5846461716,3.9,3.2,NA,4.1,10.4,80.3,85.4,59.3406593407,15,37.6543209877,19.1621621622,2391.8654464286,0.6011445
"Sousa",2000,39.2601255407806,NA,NA,NA,81.0847933396979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sousa",2007,NA,63.3382082224,3.5,3.15,NA,6.6,34,73.2,62.5,36.7346938776,NA,35.7142857143,18.1285714286,1995.5419050878,NA
"Sousa",2008,NA,61.2433973644,NA,NA,NA,7.1,35.8,78.1,58.6,34.1463414634,NA,38.8888888889,17.0935251799,2237.4727468321,NA
"Sousa",2009,NA,67.4357878866,3.5,3.1,NA,5.7,29.2,78.3,56.3,40.4761904762,NA,38.8888888889,17.45,2322.2187004929,0.687195
"Sousa",2010,33.112463436388,70.6816556088,NA,NA,90.3537021263374,4.7,8.1,79,88.9,52.1739130435,NA,38.6111111111,17.0298507463,2606.2928295187,NA
"Sousa",2011,NA,65.6783676713,4,3.55,NA,4,10.6,83.1,89.4,53.164556962,19.696969697,34.8484848485,16.6617647059,2877.9821437741,0.565975
"Umbuzeiro",2000,52.3473030155369,NA,NA,NA,86.8115501256193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Umbuzeiro",2007,NA,70.2852191476,3.2,2.8,NA,7.1,31.7,75.3,65.9,50.4166666667,NA,41.5555555556,19.4503311258,1311.1400184746,NA
"Umbuzeiro",2008,NA,66.7520914266,NA,NA,NA,8.7,17.1,76.3,82.9,39.7435897436,NA,45.0396825397,17.8798283262,1584.8701057169,NA
"Umbuzeiro",2009,NA,70.9198790419,3.4,2.9,NA,7.1,23.4,76,67.5,53.781512605,NA,44.8275862069,18.7899159664,1828.6956356717,0.769149
"Umbuzeiro",2010,38.5812062472137,70.5805286355,NA,NA,94.3962547987162,4.9,14.9,80.1,84.8,62.5899280576,NA,43.7198067633,17.5539568345,2089.7022479726,NA
"Umbuzeiro",2011,NA,71.7128930205,3.7,3.3,NA,5.8,11.8,79,88.2,64.7058823529,19.7530864198,43.3048433048,17.7753623188,2301.7180099935,0.634517
"Agreste Paraibano",2000,44.3803177129363,NA,NA,NA,84.2924325136593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agreste Paraibano",2007,NA,71.7918416937,3,2.7,NA,9.35,15.2,72.5,79.25,52.6990291262,NA,35.89225589225,19.80046695405,1637.32233995965,NA
"Agreste Paraibano",2008,NA,69.58638660545,NA,NA,NA,8.75,15.4,74.3,81.45,50.40900640365,NA,40.19129019125,19.2231397459,1797.3218243231,NA
"Agreste Paraibano",2009,NA,73.0165851321,3.4,2.9,NA,7.25,17.4,76.2,76.5,52.6904761905,NA,39.1081871345,18.77321885275,2004.42795715145,0.71427
"Agreste Paraibano",2010,35.1250063763131,72.61152239215,NA,NA,92.4586281317005,6.55,15.05,78.25,77.7,55.02747252745,NA,38.23302469135,18.69795918365,2211.0434022733,NA
"Agreste Paraibano",2011,NA,71.9647685579,3.7,3,NA,5.8,12,79.95,79.55,62.9619260918,18.96497811135,35.28265107215,18.09827044025,2505.30592149085,0.601382
"Borborema",2000,33.157380027191,NA,NA,NA,85.4230681285403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borborema",2007,NA,65.56483041205,3.4,2.8,NA,7.1,13.95,74.6,76.5,61.76923076925,NA,36.57407407405,18.2480654762,2040.5287728177,NA
"Borborema",2008,NA,62.8705389099,NA,NA,NA,5,12.05,79.5,77.85,57.8167115903,NA,39.65215215215,15.97826086955,2320.77220597,NA
"Borborema",2009,NA,67.80733034575,3.6,3.2,NA,4.8,8.45,80.3,84.8,62.7314814815,NA,37.962962963,16.11872986655,2353.3726724027,0.7280785
"Borborema",2010,25.8537610036932,67.6198903181,NA,NA,92.9840061726343,4.65,6.65,81.05,85.8,64.91228070175,NA,37.6893939394,15.8736345581,2575.89439972255,NA
"Borborema",2011,NA,64.60309496415,4.1,3.4,NA,4.85,10.7,81.6,78.55,71.29411764705,16.5992501973,35.60956790125,15.07442067735,2922.96081182025,0.6156565
