"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10","V12"
"Barra de Santana",0.0556,0.0752,0.136,0.1381,0.1549,0.1596,0.1778,0.1882,0.1964,0.2197,0.1501
"São José de Piranhas",0.1108,0.1146,0.1182,0.1222,0.1573,0.1658,0.1665,0.1709,0.1855,0.1895,0.1501
"Baía da Traição",0.05,0.1147,0.1359,0.1587,0.1595,0.1608,0.1686,0.1775,0.1844,0.1945,0.1505
"Imaculada",0.016,0.0906,0.1007,0.1261,0.1669,0.1724,0.1878,0.1957,0.2211,0.231,0.1508
"Lucena",0.0627,0.0716,0.1116,0.1146,0.1257,0.1401,0.2059,0.2074,0.2238,0.2456,0.1509
"Brejo do Cruz",0.05,0.1062,0.1417,0.1594,0.1659,0.1678,0.1715,0.1727,0.1884,0.2064,0.153
"Boqueirão",0.0945,0.1017,0.1117,0.1372,0.1487,0.1617,0.1895,0.1986,0.1998,0.1998,0.1543
"Ingá",0.0793,0.0945,0.1065,0.1461,0.1496,0.1618,0.1853,0.1957,0.1967,0.2393,0.1555
"Mogeiro",0.106,0.1272,0.1341,0.1399,0.1417,0.1501,0.1725,0.1754,0.2031,0.2065,0.1556
"Baraúna",0.0451,0.114,0.1178,0.1376,0.1567,0.1778,0.1882,0.202,0.2054,0.2151,0.156
"Cacimbas",0.016,0.088,0.1063,0.1409,0.1727,0.1857,0.2019,0.206,0.2104,0.2353,0.1563
"Cuité",0.0716,0.087,0.1035,0.1108,0.1477,0.1784,0.2026,0.2239,0.2294,0.2305,0.1585
"Casserengue",0.1242,0.1266,0.1338,0.1476,0.1479,0.1546,0.1724,0.1772,0.2034,0.2072,0.1595
"Itaporanga",0.1242,0.1247,0.1334,0.1498,0.1514,0.1619,0.171,0.1887,0.1983,0.1994,0.1603
"Taperoá",0.0998,0.1197,0.1432,0.1637,0.1651,0.1658,0.1702,0.1822,0.2031,0.206,0.1619
"Paulista",0.0556,0.0995,0.1341,0.1354,0.1652,0.1794,0.1989,0.2058,0.2333,0.2352,0.1642
"Pitimbu",0.0752,0.0793,0.0961,0.1487,0.1736,0.2129,0.2142,0.2226,0.2226,0.2289,0.1674
"Barra de Santa Rosa",0.0627,0.087,0.0973,0.1525,0.1665,0.1775,0.1838,0.2425,0.2481,0.2578,0.1676
"Bonito de Santa Fé",0.1334,0.1338,0.1342,0.1482,0.1809,0.1844,0.1867,0.1928,0.1929,0.1946,0.1682
"Mulungu",0.0588,0.1357,0.1478,0.1523,0.1678,0.1853,0.1892,0.1976,0.2188,0.2357,0.1689
"Coremas",0.1342,0.1478,0.1698,0.1701,0.172,0.1739,0.1747,0.1763,0.1907,0.1916,0.1701
"Marizópolis",0.0912,0.1157,0.1342,0.1392,0.1545,0.1972,0.2065,0.2093,0.2188,0.2345,0.1701
"Lagoa de Dentro",0.1182,0.1257,0.1313,0.1637,0.1775,0.1784,0.1852,0.1974,0.2114,0.221,0.171
"Santa Cecília",0.1312,0.1346,0.136,0.1567,0.1572,0.1794,0.1835,0.1881,0.2223,0.2285,0.1717
"Itabaiana",0.1177,0.1251,0.1373,0.1498,0.1709,0.1822,0.1959,0.1998,0.2186,0.2242,0.1722
"Arara",0.0912,0.1238,0.1284,0.1669,0.1687,0.1727,0.1943,0.2005,0.2464,0.2546,0.1748
