"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","INDICADOR_24","x","y","area"
25,"Paraíba",2512804,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Riacho dos Cavalos",1990819.81,-35.8491976917714,-6.92678039726346,0.0145566674690803
25,"Paraíba",2512747,2011,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Riachão",1671310.15,-35.2913523104801,-6.66888730950165,0.00600115848230918
25,"Paraíba",2512754,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Riachão do Bacamarte",2000089.82,-35.6465449178361,-6.54218180344736,0.007301035604768
25,"Paraíba",2512762,2011,2504,"Mata Paraibana",250421,"Sapé","Riachão do Poço",1922786.25,-35.6693619229224,-7.23795239645851,0.00314022074912298
25,"Paraíba",2512903,2011,2504,"Mata Paraibana",250420,"Litoral Norte","Rio Tinto",7940475.17,-35.2902940625735,-7.15511949375931,0.00326969295553129
25,"Paraíba",2513000,2011,2502,"Borborema",250208,"Seridó Ocidental Paraibano","Salgadinho",1624381,-36.1388235485929,-7.68114084303839,0.00750190172290681
25,"Paraíba",2513109,2011,2503,"Agreste Paraibano",250318,"Itabaiana","Salgado de São Félix",4212781.82,-37.6374736709183,-6.47779607257527,0.0216267849323609
25,"Paraíba",2513158,2011,2503,"Agreste Paraibano",250319,"Umbuzeiro","Santa Cecília",2959820.29,-35.0369359128787,-6.79618306775317,0.0382427699899665
25,"Paraíba",2513208,2011,2501,"Sertão Paraibano",250103,"Sousa","Santa Cruz",1708602.74,-36.8394686840944,-7.09804953126611,0.01510318405696
25,"Paraíba",2513307,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","Santa Helena",1851068.94,-35.4683655803381,-7.41498869044441,0.0160894793081938
25,"Paraíba",2513356,2011,2501,"Sertão Paraibano",250106,"Itaporanga","Santa Inês",1368071.98,-35.9229935497055,-7.73033546535334,0.0187771708826603
25,"Paraíba",2513406,2011,2502,"Borborema",250208,"Seridó Ocidental Paraibano","Santa Luzia",3639508.95,-38.0544630560694,-6.54663270764683,0.0172431591666053
