"ANO","NOME_MUNICIPIO","NOME_MESO","NOME_MICRO","MEDIA_ESTADO","MEDIA_MICRO","indicador"
2007,"Baía da Traição","Mata Paraibana","Litoral Norte",68.0286104055017,62.6778190210818,"INDICADOR_62"
2007,"Bananeiras","Agreste Paraibano","Brejo Paraibano",68.0286104055017,73.1685105732745,"INDICADOR_62"
2007,"Baraúna","Borborema","Seridó Oriental Paraibano",68.0286104055017,65.8401002264526,"INDICADOR_62"
2007,"Barra de Santa Rosa","Agreste Paraibano","Curimataú Ocidental",68.0286104055017,75.457054373719,"INDICADOR_62"
2007,"Barra de Santana","Borborema","Cariri Oriental",68.0286104055017,56.0899121982975,"INDICADOR_62"
2007,"Barra de São Miguel","Borborema","Cariri Oriental",68.0286104055017,55.3207507595867,"INDICADOR_62"
2007,"Bayeux","Mata Paraibana","João Pessoa",68.0286104055017,71.4613343801761,"INDICADOR_62"
2007,"Belém","Agreste Paraibano","Guarabira",68.0286104055017,65.5045682248938,"INDICADOR_62"
2007,"Belém do Brejo do Cruz","Sertão Paraibano","Catolé do Rocha",68.0286104055017,83.079978824195,"INDICADOR_62"
2007,"Bernardino Batista","Sertão Paraibano","Cajazeiras",68.0286104055017,52.7986940479777,"INDICADOR_62"
2007,"Boa Ventura","Sertão Paraibano","Itaporanga",68.0286104055017,71.281428092618,"INDICADOR_62"
