"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","numero.matriculas","IFDM","FPM"
25,"Paraíba",2513851,2011,2502,"Borborema",250211,"Cariri Oriental","Santo André",513,0.605151926825234,0.00271239692055608
25,"Paraíba",2513927,2011,2501,"Sertão Paraibano",250103,"Sousa","São Bentinho",676,0.563990737504641,0.00271239692055608
25,"Paraíba",2513901,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","São Bento",5039,0.581144104647764,0.00271239692055608
25,"Paraíba",2513968,2011,2501,"Sertão Paraibano",250103,"Sousa","São Domingos",671,0.612464960782138,0.00723305800009508
25,"Paraíba",2513943,2011,2502,"Borborema",250211,"Cariri Oriental","São Domingos do Cariri",452,0.616495564807335,0.00271239692055608
25,"Paraíba",2513984,2011,2501,"Sertão Paraibano",250103,"Sousa","São Francisco",705,0.579792539173274,0.00271239692055608
25,"Paraíba",2514008,2011,2502,"Borborema",250211,"Cariri Oriental","São João do Cariri",412,0.619624119987431,0.00271239692055608
25,"Paraíba",2500700,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",2968,0.613873951708075,0.00271239692055608
25,"Paraíba",2514107,2011,2502,"Borborema",250210,"Cariri Ocidental","São João do Tigre",976,0.579626800019864,0.00542479365164502
25,"Paraíba",2514206,2011,2501,"Sertão Paraibano",250103,"Sousa","São José da Lagoa Tapada",1075,0.58988551982274,0.00271239692055608
25,"Paraíba",2514305,2011,2501,"Sertão Paraibano",250106,"Itaporanga","São José de Caiana",1097,0.556228179943873,0.00271239692055608
25,"Paraíba",2514404,2011,2501,"Sertão Paraibano",250104,"Patos","São José de Espinharas",807,0.454391326183652,0.00271239692055608
25,"Paraíba",2514503,2011,2501,"Sertão Paraibano",250102,"Cajazeiras","São José de Piranhas",2473,0.605062763102943,0.00271239692055608
25,"Paraíba",2514552,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","São José de Princesa",515,0.597473482783549,0.00542479365164502
25,"Paraíba",2514602,2011,2501,"Sertão Paraibano",250104,"Patos","São José do Bonfim",664,0.520049739493988,0.00271239692055608
25,"Paraíba",2514651,2011,2501,"Sertão Paraibano",250101,"Catolé do Rocha","São José do Brejo do Cruz",487,0.596181377869871,0.00271239692055608
25,"Paraíba",2514701,2011,2502,"Borborema",250208,"Seridó Ocidental Paraibano","São José do Sabugi",635,0.608702039291956,0.00271239692055608
25,"Paraíba",2514800,2011,2502,"Borborema",250210,"Cariri Ocidental","São José dos Cordeiros",456,0.678232224101562,0.00271239692055608
25,"Paraíba",2514453,2011,2504,"Mata Paraibana",250421,"Sapé","São José dos Ramos",1144,0.524317152167956,0.00271239692055608
25,"Paraíba",2514909,2011,2502,"Borborema",250208,"Seridó Ocidental Paraibano","São Mamede",1540,0.545708651444817,0.00271239692055608
25,"Paraíba",2515005,2011,2504,"Mata Paraibana",250421,"Sapé","São Miguel de Taipu",1770,0.632272947310497,0.00271239692055608
25,"Paraíba",2515104,2011,2503,"Agreste Paraibano",250314,"Esperança","São Sebastião de Lagoa de Roça",2069,0.491624804892432,0.00271239692055608
25,"Paraíba",2515203,2011,2502,"Borborema",250210,"Cariri Ocidental","São Sebastião do Umbuzeiro",497,0.630790791191165,0.00361652907583439
25,"Paraíba",2515302,2011,2504,"Mata Paraibana",250421,"Sapé","Sapé",6846,NA,0.00271239692055608
25,"Paraíba",2515401,2011,2502,"Borborema",250209,"Seridó Oriental Paraibano","Seridó",1920,0.58327539355879,0.00361652907583439
25,"Paraíba",2515500,2011,2502,"Borborema",250210,"Cariri Ocidental","Serra Branca",1537,0.552143008587474,0.00904132234854513
